"","Term","P.value","Z.score","Genes"
"633","cellular modified amino acid metabolic process (GO:0006575)",0.271063544154646,-0.13975572134183,"TG;DNMT3B;FTCD;SOD1"
"634","regulation of developmental growth (GO:0048638)",0.258638259698857,-0.117458791335761,"SEMA7A;COL14A1;TGFBR2"
"635","transforming growth factor beta receptor signaling pathway (GO:0007179)",0.26220588804531,-0.112522089284203,"SMAD4;TGFB3;TGFBR2"
"636","negative regulation of multi-organism process (GO:0043901)",0.258638259698857,-0.108970183446368,"ITCH;APOBEC3F;IFNB1"
"637","amine metabolic process (GO:0009308)",0.26220588804531,-0.108551605751226,"PHOSPHO1;MTAP;SMPD4"
"638","cellular iron ion homeostasis (GO:0006879)",0.22268000343022,-0.0874397197372714,"SLC11A1;SOD1"
"639","positive regulation of response to external stimulus (GO:0032103)",0.276931409200862,-0.101846136697555,"IL21;IL18;ATG7;SCARF1"
"640","lipid modification (GO:0030258)",0.26220588804531,-0.0975605086200472,"CERK;LPPR4;CROT"
"641","regulation of protein depolymerization (GO:1901879)",0.22268000343022,-0.0760692542443133,"SHROOM2;LRRC16A"
"642","response to bacterium (GO:0009617)",0.276931409200862,-0.0862614374544896,"IFNB1;SLC11A1;ROMO1;REG3G"
"643","inositol lipid-mediated signaling (GO:0048017)",0.269359624348941,-0.0799519568282874,"NR4A1;INPP5F;TRIB3"
"644","phosphatidylinositol-mediated signaling (GO:0048015)",0.269359624348941,-0.0772787535973787,"NR4A1;INPP5F;TRIB3"
"645","organic hydroxy compound catabolic process (GO:1901616)",0.217804280564723,-0.0604857055042128,"SMPD4;SCARF1"
"646","positive regulation of nuclease activity (GO:0032075)",0.217804280564723,-0.0451125558898572,"ZBTB17;EXTL3"
"647","Golgi vesicle transport (GO:0048193)",0.279873242835985,-0.0523449778061487,"KIF16B;PUM1;SEC22B;SNX8"
"648","signal transduction by phosphorylation (GO:0023014)",0.279873242835985,-0.0389295210069583,"CCL11;IL18;ACVR2A;TGFBR2"
"649","protein-DNA complex subunit organization (GO:0071824)",0.269359624348941,-0.0367562260416838,"SMARCD1;TSPYL1;PSME4"
"650","positive regulation of defense response (GO:0031349)",0.293272394220233,-0.0210109195131451,"IL21;ITCH;IFNB1;IL18;REG3G"
"651","positive regulation of protein polymerization (GO:0032273)",0.232456076775053,-0.0145409536125144,"CCL11;LRRC16A"
"652","positive regulation of cell activation (GO:0050867)",0.293272394220233,-0.0141308389261368,"IL21;IL18;CD27;PDCD1;TGFBR2"
"653","organic hydroxy compound metabolic process (GO:1901615)",0.297345357724222,0.000608263031616798,"LDHB;PHOSPHO1;SMPD4;CYB5R3;TG;GDPD1;CROT;SCARF1"
"654","detection of chemical stimulus involved in sensory perception (GO:0050907)",0.998119112479178,2.55336015574978,"OR1I1"
"655","detection of chemical stimulus involved in sensory perception of smell (GO:0050911)",0.996524851711796,2.57012142168944,"OR1I1"
"656","response to carbohydrate (GO:0009743)",0.280130591400515,0.00838954703231222,"GCKR;FADS1;TGFBR2"
"657","response to inorganic substance (GO:0010035)",0.993137462460709,2.78239656152585,"SOD1"
"658","single-organism behavior (GO:0044708)",0.992349387227945,2.71998431928713,"ATG7"
"659","negative regulation of transport (GO:0051051)",0.992244741152569,2.80124068776155,"NR1H2"
"660","detection of chemical stimulus (GO:0009593)",0.990695175189267,2.55954773270152,"TGFB3;OR1I1"
"661","regulation of cell cycle process (GO:0010564)",0.30704924522717,0.0244068223192848,"PSMA5;MTBP;FAP;CRADD;CDKN2A;PSME4;CASP2;CRLF3"
"662","immune response-activating cell surface receptor signaling pathway (GO:0002429)",0.987185941884179,2.89740507377018,"VAV2"
"663","platelet activation (GO:0030168)",0.288727785609775,0.0312421157290167,"TGFB3;DGKA;SOD1;VAV2"
"664","positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)",0.280130591400515,0.0323080398457704,"IL21;ARL2BP;IL24"
"665","actin filament-based process (GO:0030029)",0.982967275544495,2.66493767616494,"FGD6"
"666","synaptic transmission (GO:0007268)",0.98001949516389,2.63748000971333,"AKAP5;ADCY5"
"667","mitotic cell cycle phase transition (GO:0044772)",0.306147780367176,0.050446950909433,"PSMA5;CDKN2A;DCTN3;SPDYA;CRLF3"
"668","secretion by cell (GO:0032940)",0.975104886773804,2.6873316228569,"TGFB3;SOD1"
"669","translational initiation (GO:0006413)",0.280130591400515,0.0588404913674806,"RPS5;RPL36;RPL29"
"670","regulation of membrane potential (GO:0042391)",0.971898559748804,2.71561111985307,"SOD1"
"671","regulation of small GTPase mediated signal transduction (GO:0051056)",0.967831789934069,2.69668942635731,"VAV2"
"672","epithelium development (GO:0060429)",0.967831789934069,2.75894492363396,"WNT10A"
"673","response to metal ion (GO:0010038)",0.967394183368423,2.7910016933083,"SOD1"
"674","actin cytoskeleton organization (GO:0030036)",0.966501099272413,2.71552960040418,"FGD6"
"675","regionalization (GO:0003002)",0.963672977993044,2.73922212143284,"ACVR2A"
"676","adherens junction organization (GO:0034332)",0.232456076775053,0.070577210793287,"ZNF703;MLLT4"
"677","ribonucleotide biosynthetic process (GO:0009260)",0.283730148886949,0.0824002734457823,"GUCY2D;ATP5J2;ADCY5"
"678","regulation of system process (GO:0044057)",0.958859735357392,2.73072584021267,"COL14A1;SOD1"
"679","cell cycle phase transition (GO:0044770)",0.313913641665906,0.100202095425532,"PSMA5;CDKN2A;DCTN3;SPDYA;CRLF3"
"680","activation of immune response (GO:0002253)",0.95815857561,2.75894367353194,"ITCH;REG3G;VAV2"
"681","regulation of cell division (GO:0051302)",0.956702989736276,2.79356435396814,"TGFB3"
"682","BMP signaling pathway (GO:0030509)",0.237354297728461,0.0870596945843339,"SMAD4;ACVR2A"
"683","cellular amino acid metabolic process (GO:0006520)",0.325104676281255,0.114643192697499,"SLC7A5;MTAP;TG;DNMT3B;ATG7;FTCD;SOD1"
"684","regulation of leukocyte apoptotic process (GO:2000106)",0.242257932787974,0.0990805327707919,"CDKN2A;CD27"
"685","sensory perception (GO:0007600)",0.943578220374895,2.57357586147637,"GUCY2D;TULP1;SOD1"
"686","body fluid secretion (GO:0007589)",0.242257932787974,0.110530685395818,"C11ORF63;PRLR"
"687","multi-organism reproductive process (GO:0044703)",0.283730148886949,0.125275038394387,"TGFB3;PI3;RXFP1"
"688","negative regulation of response to external stimulus (GO:0032102)",0.944052912597559,2.74883255308008,"ITCH"
"689","calcium ion transport (GO:0006816)",0.944052912597559,2.7572303596613,"TMEM165"
"690","regulation of sequence-specific DNA binding transcription factor activity (GO:0051090)",0.940467158370092,2.7020540241122,"ITCH;CDKN2A"
"691","homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)",0.290940873124111,0.135076555980301,"PCDH1;PCDHAC2;PCDHGA9"
"692","nuclear transport (GO:0051169)",0.939339124671626,2.7167144003267,"TGFB3"
"693","negative regulation of T cell activation (GO:0050868)",0.252077473866984,0.126193929840602,"IFNB1;CDKN2A"
"694","cell projection assembly (GO:0030031)",0.312515986708395,0.153171673402209,"C11ORF63;FGD6;LRRC16A;VAV2"
"695","chromosome organization (GO:0051276)",0.935110194036557,2.68513392843461,"RFC5"
"696","biomineral tissue development (GO:0031214)",0.242257932787974,0.127619520282507,"PHOSPHO1;ASGR2"
"697","nucleocytoplasmic transport (GO:0006913)",0.935110194036557,2.7131739497002,"TGFB3"
"698","ribose phosphate biosynthetic process (GO:0046390)",0.298164638686826,0.150955210750517,"GUCY2D;ATP5J2;ADCY5"
"699","negative regulation of locomotion (GO:0040013)",0.935110194036557,2.72609133927901,"IL24"
"700","immune response-regulating cell surface receptor signaling pathway (GO:0002768)",0.935903862697671,2.77807371532856,"NR4A1;TRIB3;VAV2"
"701","glycerolipid biosynthetic process (GO:0045017)",0.93333751287191,2.71422266262031,"PHOSPHO1"
"702","positive regulation of intracellular transport (GO:0032388)",0.324481572695521,0.166732366436262,"SMAD4;TGFB3;IL18;CD27"
"703","positive regulation of developmental growth (GO:0048639)",0.242257932787974,0.134357048709621,"SEMA7A;TGFBR2"
"704","immune response-activating signal transduction (GO:0002757)",0.93335600271454,2.7653229806477,"ITCH;REG3G;VAV2"
"705","response to light stimulus (GO:0009416)",0.928964128058669,2.62067796033372,"GUCY2D;TULP1"
"706","regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)",0.312515986708395,0.171496262177782,"TFG;IL18;CD27;WLS"
"707","leukocyte mediated immunity (GO:0002443)",0.237354297728461,0.138827049299657,"SLC11A1;CD27"
"708","DNA recombination (GO:0006310)",0.92772476977237,2.71973499833592,"RFC5"
"709","Fc receptor mediated stimulatory signaling pathway (GO:0002431)",0.935110194036557,3.0444580687232,"VAV2"
"710","Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)",0.934229802964125,3.04077894206829,"VAV2"
"711","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)",0.934229802964125,3.0435636017853,"VAV2"
"712","Fc-gamma receptor signaling pathway (GO:0038094)",0.934229802964125,3.04781664151144,"VAV2"
"713","regulation of apoptotic signaling pathway (GO:2001233)",0.333713177080219,0.189028123652856,"IVNS1ABP;CRADD;IFNB1;CASP2;RFFL;SOD1"
"714","response to endoplasmic reticulum stress (GO:0034976)",0.301780513443553,0.181073607559384,"ZBTB17;TRIB3;EXTL3"
"715","negative regulation of catabolic process (GO:0009895)",0.921641385603635,2.7689747064215,"SMAD4"
"716","regulation of fatty acid metabolic process (GO:0019217)",0.247165982764872,0.162172770549132,"NR1H2;TRIB3"
"717","DNA replication (GO:0006260)",0.917305051925881,2.67383972848152,"RFC5"
"718","cellular component assembly involved in morphogenesis (GO:0010927)",0.917305051925881,2.70835094644284,"C11ORF63"
"719","hexose metabolic process (GO:0019318)",0.918411045703637,2.75994685830871,"GAPDH"
"720","positive regulation of neuron differentiation (GO:0045666)",0.324481572695521,0.211320211358328,"SOX2;SEMA7A;DNMT3B;SCARF1"
"721","cellular response to organic cyclic compound (GO:0071407)",0.342584470533901,0.226939636509798,"NR4A1;IFNB1;NR1H2;ZNF703;IL18"
"722","positive regulation of ion transport (GO:0043270)",0.917305051925881,2.85296627503398,"TMEM27"
"723","negative regulation of cellular component movement (GO:0051271)",0.913896653145823,2.75287278382664,"IL24"
"724","regulation of transcription factor import into nucleus (GO:0042990)",0.252077473866984,0.180787139083584,"IL18;CD27"
"725","nucleobase-containing compound transport (GO:0015931)",0.910348323991586,2.69440892077022,"HNRNPA2B1"
"726","defense response to virus (GO:0051607)",0.309018486424997,0.223051145760064,"ITCH;APOBEC3F;IFNB1"
"727","glycerophospholipid biosynthetic process (GO:0046474)",0.907902215677085,2.72686909230846,"PHOSPHO1"
"728","smoothened signaling pathway (GO:0007224)",0.247165982764872,0.190750169202543,"EVC;TGFBR2"
"729","epithelial cell proliferation (GO:0050673)",0.252077473866984,0.194859288756236,"FAP;ACVR2A"
"730","actin filament organization (GO:0007015)",0.319885849869224,0.236256815956391,"CCL11;SHROOM2;LRRC16A"
"731","response to oxidative stress (GO:0006979)",0.899420768980672,2.59792467583247,"ROMO1;SOD1"
"732","pyruvate metabolic process (GO:0006090)",0.242257932787974,0.195329498925276,"LDHB;GAPDH"
"733","cytosolic calcium ion homeostasis (GO:0051480)",0.905389625075338,2.79376591996858,"CCR6"
"734","regulation of nuclease activity (GO:0032069)",0.247165982764872,0.200470277883284,"ZBTB17;EXTL3"
"735","positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051437)",0.247165982764872,0.203665586635033,"PSMA5;PSME4"
"736","behavior (GO:0007610)",0.895760618040527,2.58866250950219,"REN;ATG7;ADCY5;SOD1"
"737","covalent chromatin modification (GO:0016569)",0.355685719271174,0.280309338544161,"SETD3;UHRF1;SUV39H1;DNMT3B;MSL3"
"738","DNA modification (GO:0006304)",0.247165982764872,0.208621582433824,"APOBEC3F;DNMT3B"
"739","lymphocyte differentiation (GO:0030098)",0.900157748690111,2.78905542788217,"IFNB1"
"740","negative regulation of cell motility (GO:2000146)",0.897434716272357,2.73376403700576,"IL24"
"741","regulation of BMP signaling pathway (GO:0030510)",0.252077473866984,0.214914927547264,"SMAD4;ACVR2A"
"742","positive regulation of cell adhesion (GO:0045785)",0.898805356709862,2.81099611632908,"LRRC16A"
"743","dephosphorylation (GO:0016311)",0.885650799897048,2.49974090912468,"PHOSPHO1;LPPR4"
"744","establishment of organelle localization (GO:0051656)",0.894637705485167,2.79549578865189,"SHROOM2"
"745","negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)",0.252077473866984,0.226653897807038,"TGFB3;TGFBR2"
"746","posttranscriptional regulation of gene expression (GO:0010608)",0.361573307199615,0.307945556189612,"BAG3;CDKN2A;SLC11A1;RPS5;PUM1;GAPDH;ASGR2"
"747","negative regulation of cell migration (GO:0030336)",0.891764714338367,2.73735589301898,"IL24"
"748","regulation of neuron projection development (GO:0010975)",0.881946087327466,2.55878793336123,"SEMA7A;SCARF1"
"749","glycosylation (GO:0070085)",0.879415169392409,2.50265559689043,"POMGNT1;TMEM165"
"750","negative regulation of cell growth (GO:0030308)",0.319885849869224,0.285227624477752,"SMAD4;CDKN2A;CRLF3"
"751","positive regulation of Rho GTPase activity (GO:0032321)",0.316262459384413,0.282550225272738,"FGD6;CCL11;VAV2"
"752","response to acid chemical (GO:0001101)",0.881946087327466,2.62447634126175,"SOX2;DNMT3B"
"753","positive regulation of secretion (GO:0051047)",0.879415169392409,2.63778635941972,"TMEM27;TGFB3"
"754","regulation of canonical Wnt signaling pathway (GO:0060828)",0.327133784237937,0.306348740824668,"SOX2;ZNF703;WLS"
"755","regulation of ERK1 and ERK2 cascade (GO:0070372)",0.884236193395638,2.83813600393832,"SEMA7A"
"756","regulation of protein secretion (GO:0050708)",0.884236193395638,2.84721237369431,"TGFB3"
"757","regulation of extrinsic apoptotic signaling pathway (GO:2001236)",0.884236193395638,2.84750146543785,"RFFL"
"758","nitrogen compound transport (GO:0071705)",0.866283486317857,2.45629467036884,"SLC36A1;SLC7A5;SLC11A1;HNRNPA2B1"
"759","macromolecule glycosylation (GO:0043413)",0.867397101232539,2.49423422260272,"POMGNT1;TMEM165"
"760","protein glycosylation (GO:0006486)",0.867397101232539,2.49661131221244,"POMGNT1;TMEM165"
"761","carboxylic acid transport (GO:0046942)",0.345487892359131,0.33676835202445,"SLC36A1;SLC7A5;SLC11A1;CROT"
"762","protein oligomerization (GO:0051259)",0.866230949735227,2.49274690232073,"SNX2;C1QTNF6;HSCB"
"763","nuclear division (GO:0000280)",0.360933008014303,0.352177213565844,"ANKLE2;ERCC6L;KIF2A;DCTN3;SPDYA"
"764","xenobiotic metabolic process (GO:0006805)",0.876186123413806,2.72863071153322,"SULT4A1"
"765","nucleic acid transport (GO:0050657)",0.871090869158067,2.75041158845122,"HNRNPA2B1"
"766","establishment of RNA localization (GO:0051236)",0.871090869158067,2.7530617196822,"HNRNPA2B1"
"767","RNA transport (GO:0050658)",0.871090869158067,2.75548656370333,"HNRNPA2B1"
"768","negative regulation of ubiquitin-protein transferase activity (GO:0051444)",0.256991457081705,0.281300844404525,"PSMA5;CDKN2A"
"769","regulation of protein catabolic process (GO:0042176)",0.861711605308796,2.58700343492853,"SMAD4;ATG7"
"770","negative regulation of protein phosphorylation (GO:0001933)",0.861711605308796,2.61324307037595,"CDKN2A;TRIB3"
"771","cellular response to starvation (GO:0009267)",0.256991457081705,0.286268126348463,"ATG7;FADS1"
"772","maintenance of location (GO:0051235)",0.869346452100397,2.78162890545519,"ARL2BP"
"773","potassium ion transport (GO:0006813)",0.867578519604459,2.7487427862195,"TMEM38A"
"774","positive regulation of cytosolic calcium ion concentration (GO:0007204)",0.869346452100397,2.79080837480425,"CCR6"
"775","negative regulation of ligase activity (GO:0051352)",0.256991457081705,0.287661297175908,"PSMA5;CDKN2A"
"776","anterior/posterior pattern specification (GO:0009952)",0.865786755842459,2.72536910303437,"ACVR2A"
"777","organic acid transport (GO:0015849)",0.351497845859069,0.377822935838282,"SLC36A1;SLC7A5;SLC11A1;CROT"
"778","histone methylation (GO:0016571)",0.256991457081705,0.291622262783357,"SETD3;SUV39H1"
"779","glucose metabolic process (GO:0006006)",0.863970840972627,2.73557896821215,"GAPDH"
"780","negative regulation of leukocyte differentiation (GO:1902106)",0.256991457081705,0.302068239809519,"IFNB1;CDKN2A"
"781","cell morphogenesis involved in differentiation (GO:0000904)",0.86026525597609,2.76055628783549,"SMAD4"
"782","negative regulation of neuron differentiation (GO:0045665)",0.86026525597609,2.76544986770559,"SOX2"
"783","embryo development ending in birth or egg hatching (GO:0009792)",0.363519070588792,0.411929960912919,"SMAD4;TGFB3;EVX1;TGFBR2"
"784","cellular response to acid chemical (GO:0071229)",0.86026525597609,2.78707256612277,"DNMT3B"
"785","regulation of cytoskeleton organization (GO:0051493)",0.84553798495871,2.52966932175647,"CCL11;SHROOM2;LRRC16A"
"786","positive regulation of proteolysis (GO:0045862)",0.357508716848461,0.412794109879081,"CRADD;CDKN2A;IL24;PSME4"
"787","leukocyte migration (GO:0050900)",0.351497845859069,0.410988135225387,"SLC7A5;DOK2;CCL11;CCR6"
"788","response to lipopolysaccharide (GO:0032496)",0.357508716848461,0.420218282690534,"SLC11A1;IL24;IL18;REN"
"789","regulation of carbohydrate metabolic process (GO:0006109)",0.856459118056183,2.79544298423348,"GCKR"
"790","cell part morphogenesis (GO:0032990)",0.843297074763171,2.55273054270228,"LPPR4;ATG7"
"791","G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)",0.330757678920582,0.395241221157232,"RGS1;RXFP1;ADCY5"
"792","developmental maturation (GO:0021700)",0.334381099598943,0.399264198885185,"IL21;REN;SCARF1"
"793","glucose homeostasis (GO:0042593)",0.852549709138395,2.7456595000335,"GCKR"
"794","response to radiation (GO:0009314)",0.840378394299213,2.52020287251128,"GUCY2D;CCL11;DNMT3B;TULP1"
"795","carbohydrate homeostasis (GO:0033500)",0.852549709138395,2.74815709427815,"GCKR"
"796","Fc receptor signaling pathway (GO:0038093)",0.848267867444373,2.69589741072741,"NR4A1;TRIB3;VAV2"
"797","positive regulation of secretion by cell (GO:1903532)",0.841666450390233,2.57397722986647,"TMEM27;TGFB3"
"798","positive regulation of protein transport (GO:0051222)",0.366523611999758,0.450136170933246,"SMAD4;TGFB3;IL18;CD27"
"799","establishment of protein localization to membrane (GO:0090150)",0.360514047083767,0.443681775242532,"SRP72;RPS5;RPL36;RPL29"
"800","adult behavior (GO:0030534)",0.848534238133078,2.75630646381327,"ATG7"
"801","cytokine-mediated signaling pathway (GO:0019221)",0.834190607776445,2.49747284212247,"IFNB1;CCR6;PRLR"
"802","cellular component morphogenesis (GO:0032989)",0.833938049211801,2.49736965227327,"SMAD4;SHROOM2;LPPR4;ATG7"
"803","sodium ion transport (GO:0006814)",0.848534238133078,2.77566442669107,"SHROOM2"
"804","G2/M transition of mitotic cell cycle (GO:0000086)",0.844409838871506,2.70265916414414,"DCTN3"
"805","cell cycle G2/M phase transition (GO:0044839)",0.844409838871506,2.70528269067405,"DCTN3"
"806","cellular response to abiotic stimulus (GO:0071214)",0.369527497482244,0.462099571693368,"GUCY2D;CRADD;BAG3;CASP2"
"807","negative regulation of viral process (GO:0048525)",0.261907007826549,0.346094832259247,"APOBEC3F;IFNB1"
"808","nucleoside monophosphate metabolic process (GO:0009123)",0.820410637164752,2.36823350294282,"KIF2A;KIF16B;PEX1;ATP5J2"
"809","regulation of peptide transport (GO:0090087)",0.366523611999758,0.470774149233716,"TMEM27;IL18;CD27;AKAP5"
"810","divalent inorganic cation transport (GO:0072511)",0.826287856105881,2.51843141548376,"SLC11A1;TMEM165"
"811","muscle system process (GO:0003012)",0.824498881307801,2.49279016977644,"INPP5F;SOD1"
"812","negative regulation of cell development (GO:0010721)",0.828060470491403,2.55219281593858,"SOX2;MYCN"
"813","lipid catabolic process (GO:0016042)",0.369527497482244,0.485710822101384,"SMPD4;INPP5F;CROT;SCARF1"
"814","regulation of cellular carbohydrate metabolic process (GO:0010675)",0.840173567829194,2.80246603110291,"GCKR"
"815","negative regulation of organelle organization (GO:0010639)",0.824498881307801,2.54238143501854,"SHROOM2;DNMT3B"
"816","divalent metal ion transport (GO:0070838)",0.819032617438358,2.48930577985655,"SLC11A1;TMEM165"
"817","exocytosis (GO:0006887)",0.817177023045039,2.47959407318355,"TGFB3;SOD1"
"818","glycoprotein metabolic process (GO:0009100)",0.261907007826549,0.375323918148025,"EXTL3;ASGR2"
"819","ribonucleoside monophosphate metabolic process (GO:0009161)",0.804501228241779,2.32776606508145,"KIF2A;KIF16B;PEX1;ATP5J2"
"820","regulation of cyclic nucleotide metabolic process (GO:0030799)",0.831353238559119,2.77556329024089,"AKAP5"
"821","membrane lipid metabolic process (GO:0006643)",0.363314617848325,0.50932208043498,"CTSA;SMPD4;CERK"
"822","angiogenesis (GO:0001525)",0.38153306022999,0.538814552644579,"COL15A1;IL18;TBX4;VAV2"
"823","skeletal system development (GO:0001501)",0.363314617848325,0.514538580267843,"EVC;PITX1;ACVR2A"
"824","regulation of hormone secretion (GO:0046883)",0.811508064160089,2.50474244267804,"TMEM27;AKAP5"
"825","Wnt signaling pathway (GO:0016055)",0.375532613439643,0.536111808974221,"WNT10A;MITF;ZBTB33;WLS"
"826","response to purine-containing compound (GO:0014074)",0.829073414440268,2.8041188201954,"REN"
"827","cell division (GO:0051301)",0.826762888812598,2.76572665306268,"CDKN2A"
"828","regulation of hormone levels (GO:0010817)",0.809583957542742,2.4925404599833,"TG;REN"
"829","cell projection morphogenesis (GO:0048858)",0.807642426220194,2.47948660387469,"LPPR4;ATG7"
"830","lymphocyte activation involved in immune response (GO:0002285)",0.271739232258709,0.411654716168961,"IFNB1;SLC11A1"
"831","carbohydrate biosynthetic process (GO:0016051)",0.824421249689418,2.78114743060748,"GAPDH"
"832","RNA splicing (GO:0008380)",0.400298853306246,0.587278455565089,"IVNS1ABP;HNRNPA2B1;SNRPB2;HNRNPH3;WBP11"
"833","positive regulation of protein catabolic process (GO:0045732)",0.824421249689418,2.79134499757801,"ATG7"
"834","organelle localization (GO:0051640)",0.822048079849073,2.75141062651249,"PEX1"
"835","negative regulation of MAPK cascade (GO:0043409)",0.824421249689418,2.80536069052442,"ITCH"
"836","regulation of epithelial cell migration (GO:0010632)",0.822048079849073,2.76418131319779,"TGFBR2"
"837","DNA repair (GO:0006281)",0.784254021467186,2.23089673455967,"RFC5;FANCI;UHRF1;PSME4"
"838","potassium ion transmembrane transport (GO:0071805)",0.822048079849073,2.76999254939518,"TMEM38A"
"839","cellular potassium ion transport (GO:0071804)",0.822048079849073,2.77259503050156,"TMEM38A"
"840","regulation of protein binding (GO:0043393)",0.819642956186726,2.75179010969569,"TRIB3"
"841","cellular response to organonitrogen compound (GO:0071417)",0.796902259752068,2.41148804173411,"DOK1;DNMT3B;TRIB3;ADCY5"
"842","purine nucleoside monophosphate metabolic process (GO:0009126)",0.784254021467186,2.27129909637087,"KIF2A;KIF16B;PEX1;ATP5J2"
"843","B cell activation (GO:0042113)",0.819642956186726,2.77881436667242,"IFNB1"
"844","ovulation cycle process (GO:0022602)",0.276654174286436,0.430202190579312,"CASP2;SOD1"
"845","negative regulation of immune system process (GO:0002683)",0.395056507141262,0.595598528627281,"ITCH;IFNB1;CDKN2A;TGFB3;NR1H2"
"846","purine ribonucleoside monophosphate metabolic process (GO:0009167)",0.782630019428244,2.26915011521194,"KIF2A;KIF16B;PEX1;ATP5J2"
"847","regulation of neuron differentiation (GO:0045664)",0.787473217762473,2.33391624507204,"SOX2;SEMA7A;DNMT3B;SCARF1"
"848","monosaccharide metabolic process (GO:0005996)",0.793553838513212,2.41982347507277,"CYB5R3;GAPDH"
"849","sensory perception of mechanical stimulus (GO:0050954)",0.817205450254718,2.78047375116174,"SOD1"
"850","negative regulation of protein modification process (GO:0031400)",0.79065417869439,2.39399128993839,"PSMA5;CDKN2A;DNMT3B;TRIB3"
"851","mRNA processing (GO:0006397)",0.774364957131669,2.21678740457925,"HNRNPA2B1;SNRPB2;HNRNPH3;WBP11"
"852","proteolysis involved in cellular protein catabolic process (GO:0051603)",0.416217460125811,0.647916273970574,"SOX2;PSMA5;ITCH;FAP;PSME4;RFFL"
"853","phosphatidylinositol metabolic process (GO:0046488)",0.812231548267947,2.7369304829434,"INPP5F"
"854","response to ionizing radiation (GO:0010212)",0.817205450254718,2.82140626655699,"DNMT3B"
"855","negative regulation of Wnt signaling pathway (GO:0030178)",0.814735127645959,2.7797357390584,"SOX2"
"856","cellular response to radiation (GO:0071478)",0.814735127645959,2.79027132354674,"GUCY2D"
"857","vesicle organization (GO:0016050)",0.814735127645959,2.79800459548635,"SHROOM2"
"858","sulfur compound metabolic process (GO:0006790)",0.402918380631094,0.631444437868672,"MTAP;DNMT3B;EXTL3;SULT4A1;SOD1"
"859","cellular response to lipid (GO:0071396)",0.405536664874636,0.64215180642041,"NR4A1;NR1H2;IL24;ZNF703;IL18"
"860","regulation of binding (GO:0051098)",0.78724262703727,2.42333847217059,"SMAD4;TRIB3"
"861","regulation of cellular component size (GO:0032535)",0.374120684663392,0.590731777824089,"CCL11;SHROOM2;LRRC16A"
"862","regulation of defense response to virus (GO:0050688)",0.271739232258709,0.446448948028754,"ITCH;APOBEC3F"
"863","regulation of response to DNA damage stimulus (GO:2001020)",0.809694266129259,2.77564996735573,"CDKN2A"
"864","mitotic nuclear division (GO:0007067)",0.393514643837648,0.628587250458599,"ERCC6L;ANKLE2;KIF2A;DCTN3"
"865","positive regulation of DNA metabolic process (GO:0051054)",0.809694266129259,2.77899210059611,"TGFB3"
"866","regulation of multi-organism process (GO:0043900)",0.77397201009547,2.29469113415493,"ITCH;APOBEC3F;IFNB1"
"867","sensory perception of sound (GO:0007605)",0.809694266129259,2.7955308221471,"SOD1"
"868","positive regulation of protein processing (GO:0010954)",0.393514643837648,0.633340664515618,"CRADD;CDKN2A;IL24;PSME4"
"869","response to estrogen (GO:0043627)",0.377715140582718,0.608985498222862,"TGFB3;ZNF703;TGFBR2"
"870","cellular carbohydrate metabolic process (GO:0044262)",0.374120684663392,0.603855752538666,"UEVLD;LDHB;GDPD1"
"871","steroid metabolic process (GO:0008202)",0.393514643837648,0.637811410236343,"CYB5R3;PRLR;SULT4A1;SCARF1"
"872","positive regulation of protein maturation (GO:1903319)",0.393514643837648,0.638657989297688,"CRADD;CDKN2A;IL24;PSME4"
"873","post-translational protein modification (GO:0043687)",0.771855447002354,2.32486743956314,"DOHH;ATG7"
"874","toll-like receptor signaling pathway (GO:0002224)",0.804516779730879,2.77257744321063,"REG3G"
"875","germ cell development (GO:0007281)",0.8018756533634,2.73353930161199,"TDRD6"
"876","microtubule cytoskeleton organization (GO:0000226)",0.408442189458204,0.674847030952786,"C11ORF63;KIF2A;KLK9;GAPDH"
"877","regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)",0.276654174286436,0.471410579140113,"PSMA5;PSME4"
"878","vitamin metabolic process (GO:0006766)",0.804516779730879,2.7961482958396,"CYB5R3"
"879","kidney development (GO:0001822)",0.804516779730879,2.81002953544445,"REN"
"880","regulation of cell projection organization (GO:0031344)",0.764124606136567,2.27451965861916,"SEMA7A;TGFB3;LRRC16A;SCARF1"
"881","macromolecule methylation (GO:0043414)",0.388472121204365,0.648657173295382,"SETD3;SUV39H1;DNMT3B"
"882","response to temperature stimulus (GO:0009266)",0.804516779730879,2.81981181751161,"SOD1"
"883","plasma membrane organization (GO:0007009)",0.8018756533634,2.79346413671801,"SOD1"
"884","regulation of endocytosis (GO:0030100)",0.374120684663392,0.630671766376814,"SLC11A1;NR1H2;TULP1"
"885","negative regulation of nervous system development (GO:0051961)",0.771855447002354,2.39670789330521,"SOX2;MYCN"
